date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:21	829/829	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226604feae-7b8%22	https://anannniyaa.couponcorners.com/robots.txt		(from )
12:12:22	8047/8047	---M-Z	200	added ('OK')	text/html	etag:W/%226604feae-1f6f%22	https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g	D:/movie%20thumbnail/hotty/anannniyaa.couponcorners.com/indexad17.html	(from )
12:12:23	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-b78%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.1/assets/owl.carousel.min.css	D:/movie%20thumbnail/hotty/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.1/assets/owl.carousel.min.css	(from https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g)
12:12:23	1303/1303	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-517%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.1/assets/owl.theme.default.css	D:/movie%20thumbnail/hotty/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.1/assets/owl.theme.default.css	(from https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g)
12:12:24	1976/1976	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226604feae-7b8%22	https://anannniyaa.couponcorners.com/css/style.css	D:/movie%20thumbnail/hotty/anannniyaa.couponcorners.com/css/style.css	(from https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g)
12:12:24	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	D:/movie%20thumbnail/hotty/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g)
12:12:24	4568/4568	---M-Z	200	added ('OK')	text/css	etag:W/%226604feae-11d8%22	https://anannniyaa.couponcorners.com/style.css	D:/movie%20thumbnail/hotty/anannniyaa.couponcorners.com/style.css	(from https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g)
12:12:25	32785/32785	---M--	200	added ('OK')	image/jpeg	etag:%226604feae-8011%22	https://anannniyaa.couponcorners.com/adsterrapic/1.jpg	D:/movie%20thumbnail/hotty/anannniyaa.couponcorners.com/adsterrapic/1.jpg	(from https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g)
12:12:25	38686/38686	---M--	200	added ('OK')	image/jpeg	etag:%226604feae-971e%22	https://anannniyaa.couponcorners.com/adsterrapic/2.jpg	D:/movie%20thumbnail/hotty/anannniyaa.couponcorners.com/adsterrapic/2.jpg	(from https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g)
12:12:25	46648/46648	---M--	200	added ('OK')	image/jpeg	etag:%226604feae-b638%22	https://anannniyaa.couponcorners.com/adsterrapic/3.jpg	D:/movie%20thumbnail/hotty/anannniyaa.couponcorners.com/adsterrapic/3.jpg	(from https://anannniyaa.couponcorners.com/?fbclid=IwAR3twe6IhIUx_Ptxyu_FzAEQwFAwcsVEB4FmS1UJycRnd-5hY8pPdayJXyo_aem_8ImJOOlLMBT2qbeRnk2R-g)
